epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_top1_ema,lr,alpha
1,4.41034487669203,7.03134988538954,20.48525647922092,3.6384583393096923,19.46000011291504,47.63999999389648,,0.00021250000000000002,1.0
2,3.896770238410102,16.20712789476183,38.93601401774089,2.653016259384155,42.50000040893555,75.26000020751952,,0.000325,1.0
3,3.4499210284762913,25.514575612725153,51.01120821397569,2.1890998401641846,50.28000022583008,83.0400001953125,,0.0004375,1.0
4,3.179180970594618,31.925150415039063,57.673090107557506,1.9035072017669679,58.76000026245117,87.4,,0.00055,1.0
5,3.0147139158884686,36.602644020589196,61.73589292602539,1.9706872871398926,55.200000408935544,84.70000025634765,,0.0006625000000000001,1.0
6,3.0601185334947374,34.98921406656901,59.99256576538086,1.7067609371185302,62.64000021362305,90.24000075683594,,0.0007750000000000001,1.0
7,2.9814377926720512,36.82998366088867,62.10676942952474,1.7306979110717773,64.04000006103516,89.04000059814453,,0.0008875000000000002,1.0
8,3.0671008550431993,34.548073296440975,59.591122691514755,1.7512654735565185,64.34000006103516,90.12000012207031,,0.001,1.0
9,3.02266857041253,36.67806249898275,60.85522335340712,1.7513830942153932,61.44000032348633,88.22000032958984,39.86000007324219,0.000999524586680138,1.0
10,2.982741021770901,37.36927502983941,61.615803725857205,1.6450174629211425,65.18000043945312,90.48000043945312,45.61999978027344,0.0009980992516968267,1.0
11,3.055016007147895,35.7706206193712,59.99142119140625,1.5672092412948608,67.32000072021485,91.820000390625,50.80000001831055,0.0009957267082562182,1.0
12,2.8457622782389325,40.42620433993869,64.77299775865343,1.567778704071045,66.08000034179688,90.84000059814453,53.88000045776367,0.000992411472629598,1.0
13,2.8030301464504666,41.64877036980523,66.0723756612142,1.6362796091079712,66.48000013427735,90.57999953613282,56.42000046386719,0.0009881598555564067,1.0
14,2.7569822705586753,42.99618378838433,66.63190952148437,1.508608962059021,69.64000030517577,91.94000034179687,58.52000015258789,0.0009829799502313896,1.0
15,2.684568559773763,45.972826335313584,68.38871949191623,1.584107138824463,69.02000051269532,92.56000050048829,60.4799998413086,0.0009768816168987393,1.0
16,2.724812060462104,43.673090550401476,68.17642610812717,1.4508534339904786,70.89999998779297,93.39999981689454,62.40000064697266,0.0009698764640825613,1.0
17,2.8309610100640192,41.67109010687934,65.61001402723524,1.6495708730697631,66.3200005493164,90.58000012207032,63.839999645996095,0.0009619778264893878,1.0
18,2.7198032221476236,43.869045152791344,67.9985326470269,1.4361833576202392,70.15999956054688,92.38000050048828,65.400000390625,0.0009532007396248068,1.0
