epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_top1_ema,lr,alpha
1,4.460011967044406,3.3062471700456406,13.044661806572808,4.194103087615967,6.240000051879883,22.13999993286133,,8e-05,0.4
2,4.27521847805447,5.820098608652751,19.962415837605793,4.001645799255371,8.780000009155273,27.51999990234375,,0.00011,0.4
3,4.168582764773898,7.831342133246528,24.25457357381185,4.05119868850708,9.600000091552735,28.25999998474121,,0.00014000000000000001,0.4
4,4.117490387047662,8.888564497036404,26.378456219482423,3.876017234802246,11.520000021362305,31.39999987182617,,0.00017,0.4
5,3.9899727703518337,10.646912790595161,30.10891513332791,3.560626868057251,16.320000177001955,40.6799998046875,,0.0002,0.4
6,3.9996385631137423,10.781664097425672,30.361955412801105,3.6110827030181887,15.820000012207032,40.020000067138675,,0.00022999999999999998,0.4
7,4.0116486263699,10.85176841023763,29.58151432969835,3.5528186138153077,16.960000134277344,42.46000023193359,,0.00026,0.4
8,3.8814744637383356,12.864342273627388,33.93038828396267,3.371316883468628,19.560000112915038,47.06000036010742,,0.00029,0.4
9,3.827738383314345,13.574032553524441,35.20879728020562,3.3419987236022948,20.200000106811522,46.90000025634765,,0.00031999999999999997,0.4
10,3.733877032555474,15.019621762424045,37.90431949327257,3.155782710647583,23.980000213623047,51.88000037841797,,0.00034999999999999994,0.4
11,3.8069685767279733,14.048344006008572,35.85051969740126,3.200793270111084,21.980000064086916,50.36000042724609,,0.0003799999999999999,0.4
12,3.728879475318061,15.457025155639649,37.65083337131076,3.2777492736816405,20.1800001953125,48.919999841308595,,0.00040999999999999994,0.4
13,3.7518734690348308,15.221778124152289,37.32791452026367,3.369974084854126,20.560000036621094,46.259999884033206,,0.00043999999999999996,0.4
14,3.6726471099853515,16.74871438615587,40.05920983174642,3.0877817821502687,24.300000213623047,53.26000043334961,,0.00046999999999999993,0.4
15,3.6627233891805013,16.54117764723036,39.74876730957031,3.1562503059387206,23.720000131225586,51.10000022583008,,0.0005,0.4
16,3.601528492779202,17.91928623623318,41.71320568576389,2.8612405696868897,29.720000134277345,60.16000020751953,,0.0004999707029374686,0.4
17,3.5688782679239908,18.503144398328992,42.74488245849609,2.858891221618652,28.980000073242188,59.340000415039064,,0.0004998828186301779,0.4
18,3.464928814146254,20.68855138821072,45.75677852647569,2.7961061683654784,30.760000244140624,60.759999993896486,,0.0004997363677174227,0.4
19,3.457194192843967,20.58724207543267,45.65423850097656,2.6773659564971926,31.899999822998048,63.379999584960935,,0.0004995313845926423,0.4
20,3.318734543440077,23.28436248847114,49.41602844916449,2.8199531372070314,30.06000023803711,60.39999993896485,,0.0004992679173953434,0.4
21,3.505584113735623,20.052172022162544,44.84977660929362,2.6633029384613036,33.13999998779297,63.45999958496094,,0.0004989460279997939,0.4
22,3.3522319244384766,22.916463566419814,48.7285161980523,2.5452398998260497,36.000000262451174,65.80000012207032,,0.0004985657920004928,0.4
23,3.375894720670912,22.411680590820314,47.683141352674696,2.4847640590667726,36.80000000610352,67.6600002319336,,0.000498127298694417,0.4
24,2.981765920723809,30.077892117987737,58.23272354871962,2.4417106929779053,36.820000378417966,68.82000072021485,,0.0004976306510600497,0.4
25,3.351495181740655,23.276649379136828,49.092617536078556,2.619993837356567,34.00000030517578,63.94000032348633,,0.0004970759657331971,0.4
26,3.3331739033593073,23.857249279446073,49.47026990356445,2.40086875038147,37.94000037841797,69.26000040283203,,0.0004964633729795963,0.4
27,3.197321059121026,26.364983560180665,52.41990554470486,2.3688351448059084,39.139999853515626,70.42000024414062,,0.000495793016664323,0.4
28,3.1058281884087457,27.901222751363118,54.88288554619683,2.2993400463104248,40.18000028076172,71.1600001953125,,0.0004950650542180058,0.4
29,3.3138539191351994,24.50199367167155,49.70804687025282,2.4061594623565674,38.38000021972656,68.77999975585938,,0.0004942796565998533,0.4
30,3.188368771701389,26.440266069878472,52.62543924560547,2.2872760498046874,40.69999975585937,72.20000057373046,,0.000493437008257506,0.4
31,3.197741245778402,26.195194328138562,52.46953315226237,2.22100122795105,42.160000286865234,73.58000052490235,,0.0004925373070837188,0.4
32,3.273478621927897,25.291773724704317,50.38872158474393,2.3571568969726564,39.580000280761716,70.68000072021485,,0.0004915807643698869,0.4
33,2.8668517310248482,32.711631919352214,60.5013588534885,2.1907523777008056,42.439999865722655,73.06000068359376,,0.0004905676047564248,0.4
34,2.9957128848605685,29.916497390407987,57.319087323676214,2.227655997467041,42.219999920654296,73.22000020751953,,0.0004894980661800101,0.4
35,3.0931012932247586,28.599703036838108,55.29645867377387,2.1141609043121337,44.82000004272461,75.1600001586914,,0.0004883723998177054,0.4
36,3.187415584479438,26.790415953911676,52.870198837619355,2.151963716506958,44.27999987792969,74.04000052490234,,0.00048719087002797005,0.4
37,3.1328063741048178,27.82012660386827,53.84526572672526,2.260441576004028,42.07999976196289,72.38000084228516,,0.00048595375428857676,0.4
38,3.057984844631619,29.11931653611925,55.891201123046876,2.1632693645477294,43.48000040283203,74.00000063476563,,0.00048466134313144665,0.4
39,3.2567061653984917,25.23380277642144,50.811451844618055,2.1401459537506105,43.699999822998045,74.87999952392578,,0.0004833139400744194,0.4
40,3.0684525184843277,29.541435509575738,55.79043382839627,2.0029987873077393,47.060000421142576,78.02000064697266,,0.0004819118615499728,0.4
41,2.977353859117296,31.83121238606771,58.205922285970054,2.0846210330963135,45.39999982910156,76.26000037841797,,0.0004804554368309102,0.4
42,3.095948022588094,28.854025589667426,54.93656359049479,2.119624284744263,44.36000025024414,75.22000063476563,,0.0004789450079530316,0.4
43,2.8372820324367947,33.430656933085125,61.26962244466146,2.0360807584762575,46.33999978027344,76.4199996459961,,0.00047738092963480844,0.4
44,2.923333676232232,32.38371796942817,58.91287615492079,2.0206578994750974,46.899999993896486,77.18000028076172,,0.00047576356919407857,0.4
45,2.965697809770372,31.917035433620878,58.780665142822265,2.0387695373535157,46.660000103759764,76.52000043945313,,0.00047409330646178355,0.4
46,3.2248329972585044,26.19050824008518,51.88254028388129,2.091601810836792,45.060000408935544,75.52000037841798,,0.00047237053369276696,0.4
47,3.024269095526801,30.69817558186849,56.81448838229709,2.08210584564209,45.380000244140625,75.83999995117188,,0.0004705956554736543,0.4
48,2.8499766983032226,33.30299964396159,60.2727870836046,2.172861576461792,43.880000354003904,73.72000004882813,,0.0004687690886278376,0.4
49,2.9298627264234756,32.76902814805773,59.19401434020996,2.209544281387329,42.44000018310547,73.69999952392578,,0.00046689126211758636,0.4
50,3.010003322219849,30.9657489654541,56.92837543674045,1.909727359008789,48.78000042114258,78.64000054931641,,0.00046496261694330685,0.4
51,2.832146356285943,35.048501814778646,61.49013936225043,1.8798021558761597,50.87999984741211,79.0600007080078,,0.00046298360603997524,0.4
52,2.8255945959303115,34.15309568549262,60.933607400173614,1.9134384536743163,49.560000006103515,78.7999998046875,,0.0004609546941707674,0.4
53,2.957960545349121,31.926992323472764,58.5163132683648,1.8550827604293822,50.7000002746582,80.14000050048828,,0.000458876357817911,0.4
54,2.772857512749566,35.71153217027452,62.281090016682946,1.9502948972702026,48.879999951171875,78.04000075683594,,0.0004567490850707855,0.4
55,2.6971105555216472,38.04753331773546,64.78994683702257,1.7865039398193359,51.77999990234375,81.75999965820313,,0.0004545733755112962,0.4
56,2.800207988527086,35.06512559407552,61.61605534125434,1.7615283653259277,53.78000023193359,81.74000061035156,,0.00045234974009654953,0.2
57,2.759390221150716,35.808856448025175,62.825653009711374,1.8765549156188965,49.61999979248047,79.77999986572266,,0.0004500787010388564,0.2
58,2.408556646431817,42.30859082234701,70.12784888373481,1.7446644115447998,52.44000007324219,81.62000013427735,,0.0004477607916830929,0.2
59,2.575215347713894,39.3640353129069,66.16626315646701,1.7965418981552124,51.34000043334961,80.84000013427735,,0.000445396556381446,0.2
60,2.732124984359741,36.58201179402669,62.93749981011285,1.7505809595108033,52.6199998046875,81.86000024414062,,0.00044298655036557487,0.2
61,2.6652398607042103,38.354165919325084,64.38250921088324,1.760583120727539,52.1799998046875,80.97999997558594,,0.0004405313396162165,0.2
62,2.4161176265292696,42.754267367214624,70.03778524576823,1.7031372152328492,52.98000018310547,82.48000067138672,,0.0004380315007302677,0.2
63,2.729313675181071,37.63693099195692,63.422404907226564,1.7460604198455811,53.32000029296875,81.80000067138671,,0.00043548762078537284,0.2
64,2.5021295798831518,40.31457765842014,67.41847935655382,1.7634904813766479,52.00000017700195,81.14000056152344,,0.0004329002972020516,0.2
65,2.2985313908894858,45.45547046746148,72.34349484049478,1.6736535436630249,55.14000034790039,82.8400001953125,,0.0004302701376033965,0.2
66,2.607752251074049,39.17559670138889,65.67250366075304,1.7015061307907104,53.51999987182617,82.93999982910157,,0.00042759775967237556,0.2
67,2.786148971218533,35.279070612250436,61.81251280653212,1.772742709159851,53.1599998046875,81.55999965820313,,0.00042488379100677086,0.2
68,2.423070903714498,43.11289682617188,69.66724627956815,1.6568895238876342,55.28000040283203,83.4400004638672,,0.00042212886897179065,0.2
69,2.7161564756181504,37.419965915595164,63.621951635742185,1.6223205516815185,56.49999982299805,83.92000062255859,,0.0004193336405503858,0.2
70,2.523141063308716,41.66555228610569,67.86097436116536,1.649182113647461,55.540000030517575,83.779999609375,,0.0004164987621913087,0.2
71,2.563311723454793,40.88449843885633,66.90167097303602,1.640774081993103,55.73999997558594,83.80000046386719,,0.0004136248996549486,0.2
72,2.3985752454545763,43.4515205722385,70.34022487928603,1.6410445091247559,55.96000046386719,83.3400003540039,,0.0004107127278569801,0.2
73,2.5950670399136015,39.98990021226671,65.59609655626085,1.6446039848327636,55.92000040283203,83.61999951171875,,0.0004077629307098624,0.2
74,2.4704638768090144,42.58112201334635,68.5683917154948,1.6144985555648803,55.29999991455078,83.99999951171876,,0.00040477620096222465,0.2
75,2.2556857864379882,45.812420096842445,72.52675757785373,1.6645178382873536,55.319999981689456,83.12000083007813,,0.00040175324003617635,0.2
76,2.425738277308146,43.892761433241105,69.89186817423503,1.5974742609024049,56.560000408935544,84.14000030517577,,0.00039869475786258156,0.2
77,2.560642270787557,41.26909211730957,66.8889460035536,1.6127586322784424,57.020000360107424,83.69999951171874,,0.000395601472714334,0.2
78,2.5323206720987956,41.33817125447591,67.27104535861545,1.661190764427185,54.79999992675781,83.10000035400391,,0.00039247411103767344,0.2
79,2.490413413259718,42.46291386176215,67.69384334716797,1.588834065246582,56.44000025024414,84.24000068359375,,0.0003893134072815826,0.2
80,2.4750278988732233,41.885515182834204,67.93468282877605,1.6387061460494996,55.76000035400391,83.60000073242188,,0.0003861201037253048,0.2
81,2.7303971652560763,37.47225310058594,63.63266301269531,1.5948713417053222,57.10000040893555,83.93999951171875,,0.000382894950304022,0.2
82,2.2391679764641657,47.39151494615343,72.86104351806641,1.5534648113250733,57.8599998840332,85.20000084228515,,0.00037963870443273606,0.2
83,2.3112827662150064,46.14392423434787,71.48722543131511,1.5822005710601807,57.50000040893555,84.42000057373046,,0.0003763521308283919,0.2
84,2.0754372169918485,50.76332699924045,76.43144660780165,1.4725412214279174,59.00000025024414,86.1599995727539,,0.0003730360013302875,0.2
85,2.4287322539435494,44.06855520528158,69.51775049845378,1.6525314172744752,55.78000030517578,83.15999956054688,,0.0003696910947188097,0.2
86,2.464094699605306,43.93296469048394,69.1025947672526,1.5471528276443482,57.98000020141602,85.52000036621094,,0.00036631819653254097,0.2
87,2.589387406539917,42.09452186618381,66.86017941894531,1.5648437215805053,58.259999938964846,85.29999952392578,,0.00036291809888377844,0.2
88,2.1944652943293255,49.55673616943359,74.31297424858941,1.4292521726608276,61.32000000610351,86.78000026855469,,0.00035949160027250963,0.2
89,2.2461209422853257,47.7542275132921,72.81261383599175,1.4962023212432862,59.299999829101566,85.84000031738282,,0.00035603950539888734,0.2
90,2.334056427552965,45.375801055230035,71.03400840861002,1.6161964693069457,56.42000040893555,83.67999967041015,,0.00035256262497424944,0.2
91,2.390595284101698,44.062740937974716,69.79589419623481,1.5293361431121826,58.70000010375976,84.92000073242187,,0.00034906177553072575,0.2
92,2.282631619644165,47.086813303629555,72.38450674913194,1.5243396915435792,58.479999993896485,85.32000052490234,,0.00034553777922947905,0.2
93,2.342956163681878,46.068085337320966,70.92435405680338,1.496789557647705,60.08000042114258,85.8200001586914,,0.0003419914636676237,0.2
94,2.1683459561665854,49.379948651801215,74.30966076931423,1.5124755840301514,58.760000048828125,85.16000036621094,,0.00033842366168386717,0.2
95,2.564613766225179,42.31640583970812,66.7724730319553,1.5734891901016235,57.96000015258789,84.24000036621094,,0.00033483521116292153,0.2
96,2.158741954633925,49.612027539740666,73.97216712375217,1.462163437461853,60.03999999389649,86.27999973144532,,0.00033122695483872903,0.2
97,1.9987920858807033,53.067161113823786,77.65044483778212,1.470453360557556,59.96000004882813,86.38000020751953,,0.0003275997400965495,0.2
98,2.434047644212511,43.530830077107744,69.25832189059787,1.553006321144104,57.94000020141601,84.92000036621094,,0.00032395441877395496,0.2
99,2.3645045313517254,44.943812972683375,70.21516262342665,1.521735627746582,58.160000463867185,85.28000031738281,,0.00032029184696077896,0.2
100,2.0991414042578804,51.44670790405274,76.6354301703559,1.546371365737915,58.00000009765625,84.94000068359375,,0.0003166128847980672,0.2
101,2.0625051445855034,52.80694527723524,76.12304633517795,1.4210920730590821,61.14000042724609,87.00000042724609,,0.00031291839627607627,0.2
