epoch,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_top1_ema,lr,alpha
1,4.5159396099514435,2.6984094386206734,11.494761902533638,4.4199253326416015,3.400000025939941,14.880000102233886,,8e-05,0.4
2,4.369581806945801,4.409038579686483,16.845200157843696,4.107241431427002,7.840000003051758,26.300000213623047,,0.00011,0.4
3,4.272539454905192,6.059560050837199,20.849591144985624,3.938067415237427,10.019999960327148,30.400000134277345,,0.00014000000000000001,0.4
4,4.210379815038046,7.138354739379883,22.946471530490452,4.179365441894531,8.220000003051759,24.14000002746582,,0.00017,0.4
5,4.081449473275079,8.890033765835232,27.002903298611113,3.655432442855835,14.740000067138672,39.36000016479492,,0.0002,0.4
6,4.0884332138061525,9.19453722720676,27.10306300625271,3.650304608154297,15.64000001220703,39.54000022583008,,0.00022999999999999998,0.4
7,4.089183669196235,9.304986778598362,27.044431045193143,3.7398054599761963,12.62,35.89999978027344,,0.00026,0.4
8,3.9638199358622233,11.213808329603408,31.271738686116535,3.5000258499145507,17.199999969482423,43.82000029296875,,0.00029,0.4
9,3.9179216167873805,11.803801706610786,32.33180422431098,3.378163147354126,19.940000161743164,47.019999993896484,,0.00031999999999999997,0.4
10,3.832223375701904,13.180672596232096,35.04695366414388,3.2653356842041017,22.14000004272461,49.53999994506836,,0.00034999999999999994,0.4
11,3.894254449547662,12.541752504136827,33.36035397474501,3.2711501892089845,21.400000064086914,49.74000026245117,,0.0003799999999999999,0.4
12,3.821182830259535,13.59105405951606,35.151412299262155,3.2947972091674806,20.960000009155273,48.83999994506836,,0.00040999999999999994,0.4
13,3.8522550487094454,13.110335480075411,34.52300276421441,3.5056420387268066,18.76000014038086,42.99999992675781,,0.00043999999999999996,0.4
14,3.777700046878391,14.56814805738661,36.86091023898655,3.205737116241455,22.560000076293946,50.26000006103516,,0.00046999999999999993,0.4
15,3.759852389272054,14.772544731648763,36.87842151557075,3.194268184661865,23.280000125122072,50.35999995727539,,0.0005,0.4
16,1.780209669388665,16.412463150363497,39.819398529052734,3.0893187992095945,27.559999963378907,58.52000014648438,,0.0004999707029374686,0.4
17,1.732771626578437,17.575648219129775,41.885745767551,3.012993309020996,29.11999999694824,60.28000004882813,,0.0004998828186301779,0.4
18,1.700286279296875,19.145338411458333,43.88121581149631,3.008132419204712,29.539999871826172,60.199999945068356,,0.0004997363677174227,0.4
19,1.6950166933059692,18.880879063924155,43.53039979587131,2.9498971351623533,28.599999920654298,60.480000469970705,,0.0004995313845926423,0.4
20,1.6604644047843085,20.854783530341255,46.89157832845052,2.926025393676758,30.840000402832032,62.240000006103514,,0.0004992679173953434,0.4
21,1.6874969017452663,18.08496636572944,42.27254613715278,2.963813603591919,28.600000183105468,59.67999982910156,,0.0004989460279997939,0.4
22,1.654336611641778,20.20787933959961,45.56923287353516,2.882950379562378,30.96000014038086,63.16000021362305,,0.0004985657920004928,0.4
23,1.6598006184048122,19.237491293334962,44.14574744601779,2.889910973739624,31.499999981689452,61.459999841308594,,0.000498127298694417,0.4
24,1.5674211168501113,25.63286355828179,54.24669028388129,2.7829015007019042,33.25999983520508,64.2000006591797,,0.0004976306510600497,0.4
25,1.6465019759072197,20.014820198228623,45.189126785617404,2.7866433422088623,32.67999993286133,64.66000043945313,,0.0004970759657331971,0.4
26,1.639732321802775,20.332083552042644,45.78417693956163,2.869085064315796,31.66000014038086,62.04000042724609,,0.0004964633729795963,0.4
27,1.591357093026903,22.65672562967936,48.83097543063693,2.7172915988922117,35.16000036621094,65.4200001220703,,0.000495793016664323,0.4
28,1.5785806283315023,23.96430505710178,50.97542961764866,2.72429001121521,33.320000091552735,65.39999948730468,,0.0004950650542180058,0.4
29,1.6228005590226915,20.909293036227755,45.695227054850264,2.7403105087280273,33.16000025024414,64.45999974365235,,0.0004942796565998533,0.4
30,1.5812424755520291,22.819925198025174,48.666847538248696,2.648279483795166,36.22000010986328,67.07999997558593,,0.000493437008257506,0.4
